url,verdict,claim_text
https://www.factcrescendo.com/the-aerial-footage-of-the-burning-maersk-ship-is-old-and-not-related-to-israel/amp/,MISSING CONTEXT,"यमनी हौथिस ने कंटेनर जहाज मेर्स्क जिब्राल्टर पर हमला किया, जो कथित तौर पर इज़राइल के रास्ते में था।"
https://www.factcrescendo.com/video-of-mohan-yadav-scolding-corrupt-employees-is-old/,MISSING CONTEXT,मध्य प्रदेश के नए मुख्य मंत्री भ्रष्टाचार विरोधी।
https://www.factcrescendo.com/kashmiri-dry-fruit-vendor-harassment-video-in-lucknow-shared-with-misleading-claim/,MISLEADING,लखनऊ नगर पालिका टीम द्वारा गरीब कश्मीरी ड्राई फ्रूट विक्रेताओं को परेशान किया गया। वे इन गरीब लोगों को क्यों निशाना बना रहे हैं
https://www.factcrescendo.com/three-year-old-video-goes-viral-claiming-it-to-be-about-the-current-israeli-palestinian-war/,MISLEADING,इजराइल ने इस युवा फिलिस्तीनी व्यक्ति को मार डाला और फिर दक्षिण गाजा में उसके शरीर में बुलडोजर के दांत घुसा दिए
https://www.factcrescendo.com/old-news-about-20-mlas-leaving-bjp-viral-as-recent/amp/,MISSING CONTEXT,BJP से इस्तेफ देने वाले विधायक
https://www.factcrescendo.com/video-of-israeli-soldiers-destroying-palestinian-road-in-2021/,MISLEADING,इज़राइल फ़िलिस्तीनी सड़कों को नष्ट कर रहा है ताकि इसे उसके लोगों के लिए रहने लायक न छोड़ा जाए।  
https://www.factcrescendo.com/old-video-of-baba-balaknath-threatening-police-viral-as-recent/amp/,MISSING CONTEXT,चुनाव में जीतने के बाद बाबा बालकनाथ ने पुलिस को धमाना शुरू कर दिया है। 
https://www.factcrescendo.com/rahul-gandhi-money-from-hand-pump-statement-shared-without-context/amp/,MISSING CONTEXT,"आलू से सोना- के बाद पेश है….पंप से पैसा, अब तो पंप से पैसा निकलने लगा है- राहुल गाँधी।"
https://www.factcrescendo.com/old-video-of-shivraj-singh-chauhan-meeting-dhirendra-shastri-viral-on-the-internet/amp/,MISSING CONTEXT,मध्य प्रदेश में भाजपा की जीत के बाद शिवराज सिंह चौहान बागेश्वर धाम धीरेंद्र शास्त्री से मिलने गये थे। 
https://www.factcrescendo.com/this-video-of-religious-clash-is-from-maharashtra-not-from-congress-ruled-state-karnataka/amp/,MISLEADING,कर्नाटक में स्लिम लोग एक मंदिर के सामने इकट्ठा होने के लिए हिंदुओं को अपना प्राकृतिक उपचार दे रहे हैं। 
https://www.factcrescendo.com/did-the-police-forcibly-hand-over-the-pistol-to-the-biker-to-implicate-him-in-a-false-case/amp/,MISLEADING,कानपुर के टाटमील चौराहा पर पुलिस एक बाइक सवार युवक को झूठे मामले में फंसाने के लिए उसे जबरन कारतूस के साथ पिस्तौल थमा रही है।
